experiment,plot_row,block,treatment
B-3-row,1,1,control
B-3-row,1,2,blade
B-3-row,1,3,manual
B-3-row,1,4,control
B-3-row,1,5,twine
B-3-row,2,1,twine
B-3-row,2,2,manual
B-3-row,2,3,blade
B-3-row,2,4,twine
B-3-row,2,5,blade
B-3-row,3,1,manual
B-3-row,3,2,control
B-3-row,3,3,twine
B-3-row,3,4,blade
B-3-row,3,5,manual
B-3-row,4,1,blade
B-3-row,4,2,twine
B-3-row,4,3,control
B-3-row,4,4,manual
B-3-row,4,5,control
A-2-row,1,1,blade
A-2-row,1,2,control
A-2-row,1,3,twine
A-2-row,1,4,control
A-2-row,1,5,twine
A-2-row,2,1,control
A-2-row,2,2,manual
A-2-row,2,3,blade
A-2-row,2,4,twine
A-2-row,2,5,control
A-2-row,3,1,manual
A-2-row,3,2,twine
A-2-row,3,3,control
A-2-row,3,4,manual
A-2-row,3,5,manual
A-2-row,4,1,twine
A-2-row,4,2,blade
A-2-row,4,3,manual
A-2-row,4,4,blade
A-2-row,4,5,blade
C-3-row,1,1,blade
C-3-row,1,2,manual
C-3-row,1,3,twine
C-3-row,1,4,blade
C-3-row,1,5,manual
C-3-row,2,1,twine
C-3-row,2,2,control
C-3-row,2,3,blade
C-3-row,2,4,twine
C-3-row,2,5,blade
C-3-row,3,1,control
C-3-row,3,2,blade
C-3-row,3,3,manual
C-3-row,3,4,manual
C-3-row,3,5,control
C-3-row,4,1,manual
C-3-row,4,2,twine
C-3-row,4,3,control
C-3-row,4,4,control
C-3-row,4,5,twine