date,block,tunnel,trt,canes
2018-02-13,1,2-row,blade,71
2018-02-13,2,2-row,blade,56
2018-02-13,3,2-row,blade,76
2018-02-13,4,2-row,blade,58
2018-02-13,5,2-row,blade,62
2018-02-13,1,2-row,control,65
2018-02-13,2,2-row,control,.
2018-02-13,3,2-row,control,79
2018-02-13,4,2-row,control,65
2018-02-13,5,2-row,control,92
2018-02-13,1,2-row,manual,74
2018-02-13,2,2-row,manual,58
2018-02-13,3,2-row,manual,63
2018-02-13,4,2-row,manual,73
2018-02-13,5,2-row,manual,75
2018-02-13,1,2-row,twine,51
2018-02-13,2,2-row,twine,71
2018-02-13,3,2-row,twine,88
2018-02-13,4,2-row,twine,56
2018-02-13,5,2-row,twine,93
2018-02-13,1,3-row,blade,98
2018-02-13,2,3-row,blade,92
2018-02-13,3,3-row,blade,82
2018-02-13,4,3-row,blade,73
2018-02-13,5,3-row,blade,89
2018-02-13,1,3-row,control,.
2018-02-13,2,3-row,control,107
2018-02-13,3,3-row,control,93
2018-02-13,4,3-row,control,.
2018-02-13,5,3-row,control,98
2018-02-13,1,3-row,manual,98
2018-02-13,2,3-row,manual,91
2018-02-13,3,3-row,manual,64
2018-02-13,4,3-row,manual,62
2018-02-13,5,3-row,manual,90
2018-02-13,1,3-row,twine,82
2018-02-13,2,3-row,twine,76
2018-02-13,3,3-row,twine,79
2018-02-13,4,3-row,twine,69
2018-02-13,5,3-row,twine,90