date,block,tunnel,trt,receps_cane_1,receps_cane_2,receps_cane_3,receps_cane_4,receps_cane_5,receps_cane_6,receps_cane_7,receps_cane_8,receps_cane_9,receps_cane_10,receps_cane_11,receps_cane_12,receps_cane_13,receps_cane_14,receps_cane_15,receps_cane_16,receps_cane_17,receps_cane_18,receps_cane_19,receps_cane_20
2018-05-29,1,3-row,blade,53,61,171,58,38,111,54,116,74,60,25,68,54,64,52,78,46,72,64,58
2018-05-29,1,3-row,manual,80,33,46,62,54,17,95,70,27,57,39,57,70,94,46,38,30,65,49,35
2018-05-29,1,3-row,twine,41,103,33,24,81,19,17,20,57,33,41,42,32,33,54,35,38,24,81,81
2018-05-29,1,3-row,control,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018-05-29,2,3-row,twine,41,55,35,38,44,27,58,117,34,36,63,36,33,42,50,37,76,53,39,88
2018-05-29,2,3-row,control,60,39,66,63,51,52,42,47,29,33,45,28,38,47,36,52,46,64,56,53
2018-05-29,2,3-row,manual,36,57,55,59,36,59,29,54,44,34,48,42,51,38,49,34,36,73,24,19
2018-05-29,2,3-row,blade,81,20,41,36,66,52,110,98,25,18,49,34,23,47,45,42,60,17,37,62
2018-05-29,3,3-row,control,58,34,50,72,51,22,37,49,22,33,39,53,59,34,40,25,78,51,35,26
2018-05-29,3,3-row,twine,59,49,53,35,44,63,31,57,95,47,75,45,33,28,87,77,99,23,44,92
2018-05-29,3,3-row,blade,32,53,75,79,47,52,38,41,64,45,46,45,32,35,43,13,37,53,41,18
2018-05-29,3,3-row,manual,53,56,51,45,40,50,36,27,22,71,90,88,46,45,62,26,57,25,67,30
2018-05-29,4,3-row,manual,50,69,27,51,63,43,48,39,19,69,44,43,63,70,46,25,31,28,52,60
2018-05-29,4,3-row,blade,39,47,41,78,48,27,22,33,28,62,57,32,40,75,78,32,23,26,99,18
2018-05-29,4,3-row,twine,34,58,48,26,59,21,38,41,50,95,66,47,54,46,75,57,19,57,62,40
2018-05-29,4,3-row,control,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018-05-29,5,3-row,control,106,84,43,55,63,41,76,43,42,27,53,45,49,54,57,70,60,21,12,43
2018-05-29,5,3-row,manual,55,90,70,42,48,30,46,16,17,38,41,77,47,63,36,27,26,23,23,72
2018-05-29,5,3-row,blade,46,38,45,58,63,39,22,82,38,22,33,59,54,39,39,56,21,17,71,28
2018-05-29,5,3-row,twine,65,51,52,39,51,19,29,32,25,41,35,46,47,60,28,57,33,52,52,29
2018-05-29,1,2-row,twine,27,19,30,24,41,26,43,34,32,55,56,55,33,64,36,60,30,65,40,56
2018-05-29,1,2-row,manual,46,73,47,40,65,24,76,52,22,69,102,52,49,28,35,43,37,22,21,33
2018-05-29,1,2-row,control,40,51,64,49,58,27,26,43,84,50,67,50,51,62,45,69,22,20,53,17
2018-05-29,1,2-row,blade,50,21,60,58,26,69,67,46,56,52,56,25,41,40,37,30,20,37,28,37
2018-05-30,2,2-row,blade,74,89,61,93,85,40,55,18,15,64,73,39,44,101,116,33,86,47,64,31
2018-05-30,2,2-row,twine,70,74,82,65,70,7,60,81,106,54,73,60,113,49,56,50,63,92,50,50
2018-05-30,2,2-row,manual,112,78,106,66,81,120,91,96,60,66,112,82,117,73,65,39,77,60,76,60
2018-05-30,2,2-row,control,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2018-05-30,3,2-row,manual,82,78,62,63,59,48,109,80,88,38,44,30,90,83,42,92,81,20,19,55
2018-05-30,3,2-row,control,74,65,94,85,68,85,58,70,47,29,77,69,68,63,52,32,90,30,8,28
2018-05-30,3,2-row,blade,59,103,76,33,92,19,42,27,15,111,66,64,51,83,55,44,38,53,69,44
2018-05-30,3,2-row,twine,67,55,59,52,58,43,83,67,53,44,114,43,66,70,53,33,38,52,43,24
2018-05-30,4,2-row,blade,72,75,78,62,101,27,48,58,53,48,97,62,70,88,82,84,41,46,26,50
2018-05-30,4,2-row,manual,86,93,81,87,61,24,44,36,17,54,60,46,11,51,59,50,52,62,26,13
2018-05-30,4,2-row,twine,56,107,70,88,133,57,32,21,75,39,76,56,43,80,67,31,25,31,31,23
2018-05-30,4,2-row,control,64,92,84,50,81,37,65,40,75,45,100,52,45,94,99,59,46,18,37,47
2018-05-30,5,2-row,blade,28,55,50,52,61,33,41,70,74,49,43,60,43,41,33,65,48,38,37,24
2018-05-30,5,2-row,manual,70,48,54,58,55,17,35,50,36,48,91,60,55,66,59,37,34,68,26,30
2018-05-30,5,2-row,control,78,88,57,30,50,31,16,25,47,25,164,53,47,83,48,47,13,56,38,32
2018-05-30,5,2-row,twine,48,47,63,58,53,65,8,25,51,63,42,46,78,62,90,48,47,138,74,49