date,date_mm_dd,block,tunnel,trt,infected_canes,east,west
2018-10-17,17-Oct,1,3-row,manual,5,1,4
2018-10-17,17-Oct,1,3-row,control,0,0,0
2018-10-17,17-Oct,1,3-row,twine,4,1,3
2018-10-17,17-Oct,1,3-row,blade,2,0,2
2018-10-17,17-Oct,2,3-row,twine,4,2,2
2018-10-17,17-Oct,2,3-row,blade,2,1,1
2018-10-17,17-Oct,2,3-row,control,3,1,2
2018-10-17,17-Oct,2,3-row,manual,3,1,2
2018-10-17,17-Oct,3,3-row,control,0,0,0
2018-10-17,17-Oct,3,3-row,manual,4,2,2
2018-10-17,17-Oct,3,3-row,blade,1,1,0
2018-10-17,17-Oct,3,3-row,twine,2,0,2
2018-10-17,17-Oct,4,3-row,control,1,0,1
2018-10-17,17-Oct,4,3-row,manual,2,1,1
2018-10-17,17-Oct,4,3-row,twine,1,0,1
2018-10-17,17-Oct,4,3-row,blade,0,0,0
2018-10-17,17-Oct,5,3-row,twine,1,1,0
2018-10-17,17-Oct,5,3-row,control,0,0,0
2018-10-17,17-Oct,5,3-row,blade,0,0,0
2018-10-17,17-Oct,5,3-row,manual,1,1,0
2018-11-07,7-Nov,1,3-row,manual,7,3,4
2018-11-07,7-Nov,1,3-row,control,2,1,1
2018-11-07,7-Nov,1,3-row,twine,6,2,4
2018-11-07,7-Nov,1,3-row,blade,3,0,3
2018-11-07,7-Nov,2,3-row,twine,7,4,3
2018-11-07,7-Nov,2,3-row,blade,6,3,3
2018-11-07,7-Nov,2,3-row,control,6,1,5
2018-11-07,7-Nov,2,3-row,manual,7,3,4
2018-11-07,7-Nov,3,3-row,control,1,0,1
2018-11-07,7-Nov,3,3-row,manual,5,2,3
2018-11-07,7-Nov,3,3-row,blade,1,1,0
2018-11-07,7-Nov,3,3-row,twine,5,0,5
2018-11-07,7-Nov,4,3-row,control,3,1,2
2018-11-07,7-Nov,4,3-row,manual,4,1,3
2018-11-07,7-Nov,4,3-row,twine,2,0,2
2018-11-07,7-Nov,4,3-row,blade,4,3,1
2018-11-07,7-Nov,5,3-row,twine,1,1,0
2018-11-07,7-Nov,5,3-row,control,1,0,1
2018-11-07,7-Nov,5,3-row,blade,0,0,0
2018-11-07,7-Nov,5,3-row,manual,4,3,1
2018-11-28,28-Nov,1,3-row,manual,12,4,8
2018-11-28,28-Nov,1,3-row,control,5,2,3
2018-11-28,28-Nov,1,3-row,twine,9,4,5
2018-11-28,28-Nov,1,3-row,blade,7,4,3
2018-11-28,28-Nov,2,3-row,twine,14,5,9
2018-11-28,28-Nov,2,3-row,blade,10,5,5
2018-11-28,28-Nov,2,3-row,control,12,4,8
2018-11-28,28-Nov,2,3-row,manual,17,4,13
2018-11-28,28-Nov,3,3-row,control,5,2,3
2018-11-28,28-Nov,3,3-row,manual,5,2,3
2018-11-28,28-Nov,3,3-row,blade,10,6,4
2018-11-28,28-Nov,3,3-row,twine,7,1,6
2018-11-28,28-Nov,4,3-row,control,7,3,4
2018-11-28,28-Nov,4,3-row,manual,5,2,3
2018-11-28,28-Nov,4,3-row,twine,5,1,4
2018-11-28,28-Nov,4,3-row,blade,7,3,4
2018-11-28,28-Nov,5,3-row,twine,28,5,23
2018-11-28,28-Nov,5,3-row,control,36,17,19
2018-11-28,28-Nov,5,3-row,blade,8,4,4
2018-11-28,28-Nov,5,3-row,manual,6,4,2