experiment,block,trt,cane
A-2-row,2,control,1
A-2-row,2,control,2
A-2-row,2,control,3
A-2-row,2,control,4
A-2-row,2,control,5
A-2-row,2,control,6
A-2-row,2,control,7
A-2-row,2,control,8
A-2-row,2,control,9
A-2-row,2,control,10
B-3-row,1,control,1
B-3-row,1,control,2
B-3-row,1,control,3
B-3-row,1,control,4
B-3-row,1,control,5
B-3-row,1,control,6
B-3-row,1,control,7
B-3-row,1,control,8
B-3-row,1,control,9
B-3-row,1,control,10
B-3-row,4,control,1
B-3-row,4,control,2
B-3-row,4,control,3
B-3-row,4,control,4
B-3-row,4,control,5
B-3-row,4,control,6
B-3-row,4,control,7
B-3-row,4,control,8
B-3-row,4,control,9
B-3-row,4,control,10