date,block,tunnel,trt,cane,n_lesions,lesion_length_1(cm),lesion_length_2(cm),lesion_length_3(cm),status,notes
2018-10-17,1,3-row,blade,1,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,1,3-row,blade,1,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,1,3-row,blade,1,1,0.9525,no lesion,no lesion,,lesions look to have develop from petiole
2018-10-17,1,3-row,blade,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,1,3-row,blade,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,1,3-row,blade,2,1,1.11125,no lesion,no lesion,,lesions look to have develop from petiole
2018-10-17,1,3-row,blade,3,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,1,3-row,blade,3,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,1,3-row,blade,3,1,0.635,no lesion,no lesion,,lesions look to have develop from petiole
2018-10-17,1,3-row,blade,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,1,3-row,blade,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,1,3-row,blade,4,1,4.1275,no lesion,no lesion,,
2018-10-17,1,3-row,blade,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,1,3-row,blade,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,1,3-row,blade,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,1,3-row,blade,6,1,15.875,no lesion,no lesion,,
2018-11-07,1,3-row,blade,6,1,29.21,no lesion,no lesion,,
2018-11-28,1,3-row,blade,6,1,53.34,no lesion,no lesion,,
2018-10-17,1,3-row,blade,7,1,25.4,no lesion,no lesion,,
2018-11-07,1,3-row,blade,7,1,31.115,no lesion,no lesion,,
2018-11-28,1,3-row,blade,7,1,43.18,no lesion,no lesion,,
2018-10-17,1,3-row,blade,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,1,3-row,blade,8,1,10.795,no lesion,no lesion,,
2018-11-28,1,3-row,blade,8,1,30.48,no lesion,no lesion,,
2018-10-17,1,3-row,blade,9,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,1,3-row,blade,9,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,1,3-row,blade,9,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,1,3-row,blade,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,1,3-row,blade,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,1,3-row,blade,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,2,3-row,blade,1,1,4.445,no lesion,no lesion,,
2018-11-07,2,3-row,blade,1,1,20.32,no lesion,no lesion,,
2018-11-28,2,3-row,blade,1,1,26.67,no lesion,no lesion,,
2018-10-17,2,3-row,blade,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,blade,2,1,1.27,no lesion,no lesion,,
2018-11-28,2,3-row,blade,2,1,6.35,no lesion,no lesion,,
2018-10-17,2,3-row,blade,3,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,blade,3,1,13.97,no lesion,no lesion,,
2018-11-28,2,3-row,blade,3,1,34.29,no lesion,no lesion,,
2018-10-17,2,3-row,blade,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,blade,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,2,3-row,blade,4,1,13.335,no lesion,no lesion,,
2018-10-17,2,3-row,blade,5,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,blade,5,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,2,3-row,blade,5,1,13.97,no lesion,no lesion,,
2018-10-17,2,3-row,blade,6,1,22.86,no lesion,no lesion,,
2018-11-07,2,3-row,blade,6,1,40.64,no lesion,no lesion,,
2018-11-28,2,3-row,blade,6,1,58.42,no lesion,no lesion,,
2018-10-17,2,3-row,blade,7,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,blade,7,1,22.86,no lesion,no lesion,,
2018-11-28,2,3-row,blade,7,1,50.8,no lesion,no lesion,,
2018-10-17,2,3-row,blade,8,0,lesion later,lesion later,no lesion,no data now yes later,
2018-11-07,2,3-row,blade,8,2,1.5875,1.27,no lesion,,
2018-11-28,2,3-row,blade,8,2,1.905,7.62,no lesion,,
2018-10-17,2,3-row,blade,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,blade,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,2,3-row,blade,9,1,38.1,no lesion,no lesion,,
2018-10-17,2,3-row,blade,10,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,blade,10,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,2,3-row,blade,10,1,12.7,no lesion,no lesion,,
2018-10-17,3,3-row,blade,1,1,4.445,no lesion,no lesion,,
2018-11-07,3,3-row,blade,1,1,17.78,no lesion,no lesion,,
2018-11-28,3,3-row,blade,1,1,50.8,no lesion,no lesion,,merged into 1 lesion
2018-10-17,3,3-row,blade,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,blade,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,3,3-row,blade,2,1,11.43,no lesion,no lesion,,
2018-10-17,3,3-row,blade,3,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,blade,3,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,3,3-row,blade,3,1,17.78,no lesion,no lesion,,
2018-10-17,3,3-row,blade,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,blade,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,3,3-row,blade,4,1,46.355,no lesion,no lesion,,broken at tip
2018-10-17,3,3-row,blade,5,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,blade,5,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,3,3-row,blade,5,1,5.08,no lesion,no lesion,,
2018-10-17,3,3-row,blade,6,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,blade,6,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,3,3-row,blade,6,1,20.32,no lesion,no lesion,,
2018-10-17,3,3-row,blade,7,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,blade,7,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,3,3-row,blade,7,1,28.8925,no lesion,no lesion,,
2018-10-17,3,3-row,blade,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,blade,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,3,3-row,blade,8,1,24.13,no lesion,no lesion,,
2018-10-17,3,3-row,blade,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,blade,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,3,3-row,blade,9,1,3.81,no lesion,no lesion,,
2018-10-17,3,3-row,blade,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,3,3-row,blade,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,3,3-row,blade,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,4,3-row,blade,1,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,blade,1,1,0.635,no lesion,no lesion,,
2018-11-28,4,3-row,blade,1,1,0.9525,no lesion,no lesion,,
2018-10-17,4,3-row,blade,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,blade,2,1,0.635,no lesion,no lesion,,
2018-11-28,4,3-row,blade,2,1,3.175,no lesion,no lesion,,
2018-10-17,4,3-row,blade,3,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,blade,3,1,0.635,no lesion,no lesion,,
2018-11-28,4,3-row,blade,3,1,0.9525,no lesion,no lesion,,
2018-10-17,4,3-row,blade,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,4,3-row,blade,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,4,3-row,blade,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,4,3-row,blade,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,4,3-row,blade,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,4,3-row,blade,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,4,3-row,blade,6,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,blade,6,1,1.27,no lesion,no lesion,,
2018-11-28,4,3-row,blade,6,1,1.27,no lesion,no lesion,,
2018-10-17,4,3-row,blade,7,0,lesion later,lesion later,no lesion,no data now yes later,
2018-11-07,4,3-row,blade,7,0,lesion later,lesion later,no lesion,no data now yes later,
2018-11-28,4,3-row,blade,7,2,2.8575,3.4925,no lesion,,
2018-10-17,4,3-row,blade,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,blade,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,4,3-row,blade,8,1,11.43,no lesion,no lesion,,
2018-10-17,4,3-row,blade,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,blade,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,4,3-row,blade,9,1,28.575,no lesion,no lesion,,
2018-10-17,4,3-row,blade,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,4,3-row,blade,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,4,3-row,blade,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,5,3-row,blade,1,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,blade,1,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,blade,1,1,2.54,no lesion,no lesion,,
2018-10-17,5,3-row,blade,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,blade,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,blade,2,1,7.9375,no lesion,no lesion,,
2018-10-17,5,3-row,blade,3,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,blade,3,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,blade,3,1,7.3025,no lesion,no lesion,,
2018-10-17,5,3-row,blade,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,blade,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,blade,4,1,27.94,no lesion,no lesion,,
2018-10-17,5,3-row,blade,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,5,3-row,blade,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,5,3-row,blade,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,5,3-row,blade,6,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,blade,6,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,blade,6,1,13.335,no lesion,no lesion,,
2018-10-17,5,3-row,blade,7,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,blade,7,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,blade,7,1,22.225,no lesion,no lesion,,
2018-10-17,5,3-row,blade,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,blade,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,blade,8,1,3.4925,no lesion,no lesion,,
2018-10-17,5,3-row,blade,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,blade,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,blade,9,1,43.18,no lesion,no lesion,,
2018-10-17,5,3-row,blade,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,5,3-row,blade,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,5,3-row,blade,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,1,3-row,control,1,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,1,3-row,control,1,1,8.89,no lesion,no lesion,,
2018-11-28,1,3-row,control,1,1,33.02,no lesion,no lesion,,
2018-10-17,1,3-row,control,2,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,1,3-row,control,2,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,1,3-row,control,2,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,1,3-row,control,3,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,1,3-row,control,3,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,1,3-row,control,3,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,1,3-row,control,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,1,3-row,control,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,1,3-row,control,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,1,3-row,control,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,1,3-row,control,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,1,3-row,control,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,1,3-row,control,6,0,lesion later,lesion later,lesion later,no data now yes later,
2018-11-07,1,3-row,control,6,0,lesion later,lesion later,lesion later,no data now yes later,
2018-11-28,1,3-row,control,6,3,2.8575,5.08,4.445,,
2018-10-17,1,3-row,control,7,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,1,3-row,control,7,1,1.5875,no lesion,no lesion,,
2018-11-28,1,3-row,control,7,1,3.81,no lesion,no lesion,,
2018-10-17,1,3-row,control,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,1,3-row,control,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,1,3-row,control,8,1,3.4925,no lesion,no lesion,,
2018-10-17,1,3-row,control,9,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,1,3-row,control,9,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,1,3-row,control,9,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,1,3-row,control,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,1,3-row,control,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,1,3-row,control,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,2,3-row,control,1,1,1.27,no lesion,no lesion,not botrytis,removed because 11-07 removed because is not Botrytis
2018-11-07,2,3-row,control,1,0,no lesion,no lesion,no lesion,not botrytis,"removed, not Botrytis"
2018-11-28,2,3-row,control,1,1,12.065,no lesion,no lesion,not botrytis,removed because 11-07 removed because is not Botrytis
2018-10-17,2,3-row,control,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,control,2,1,6.35,no lesion,no lesion,,
2018-11-28,2,3-row,control,2,1,27.305,no lesion,no lesion,,
2018-10-17,2,3-row,control,3,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,control,3,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,2,3-row,control,3,1,8.89,no lesion,no lesion,,
2018-10-17,2,3-row,control,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,control,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,2,3-row,control,4,1,12.7,no lesion,no lesion,,
2018-10-17,2,3-row,control,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,2,3-row,control,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,2,3-row,control,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,2,3-row,control,6,1,1.905,no lesion,no lesion,,
2018-11-07,2,3-row,control,6,1,13.97,no lesion,no lesion,,
2018-11-28,2,3-row,control,6,1,17.78,no lesion,no lesion,,
2018-10-17,2,3-row,control,7,1,5.08,no lesion,no lesion,,
2018-11-07,2,3-row,control,7,1,11.43,no lesion,no lesion,,
2018-11-28,2,3-row,control,7,1,30.48,no lesion,no lesion,,merged with the ground lesion
2018-10-17,2,3-row,control,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,control,8,1,2.2225,no lesion,no lesion,,
2018-11-28,2,3-row,control,8,1,8.5725,no lesion,no lesion,,
2018-10-17,2,3-row,control,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,control,9,1,1.6129,no lesion,no lesion,,
2018-11-28,2,3-row,control,9,1,63.5,no lesion,no lesion,,merged with the ground lesion
2018-10-17,2,3-row,control,10,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,2,3-row,control,10,1,10.795,no lesion,no lesion,,
2018-11-28,2,3-row,control,10,1,33.02,no lesion,no lesion,,merged with the ground lesion
2018-10-17,3,3-row,control,1,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,control,1,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,3,3-row,control,1,1,11.43,no lesion,no lesion,,
2018-10-17,3,3-row,control,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,control,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,3,3-row,control,2,1,10.16,no lesion,no lesion,,
2018-10-17,3,3-row,control,3,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,3,3-row,control,3,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,3,3-row,control,3,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,3,3-row,control,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,3,3-row,control,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,3,3-row,control,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,3,3-row,control,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,3,3-row,control,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,3,3-row,control,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,3,3-row,control,6,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,control,6,1,6.35,no lesion,no lesion,,
2018-11-28,3,3-row,control,6,1,8.89,no lesion,no lesion,,
2018-10-17,3,3-row,control,7,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,control,7,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,3,3-row,control,7,1,15.875,no lesion,no lesion,,
2018-10-17,3,3-row,control,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,3,3-row,control,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,3,3-row,control,8,1,3.4925,no lesion,no lesion,,
2018-10-17,3,3-row,control,9,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,3,3-row,control,9,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,3,3-row,control,9,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,3,3-row,control,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,3,3-row,control,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,3,3-row,control,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,4,3-row,control,1,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,control,1,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,4,3-row,control,1,1,48.26,no lesion,no lesion,,bleached and have sclerotia
2018-10-17,4,3-row,control,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,control,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,4,3-row,control,2,1,10.16,no lesion,no lesion,,
2018-10-17,4,3-row,control,3,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,control,3,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,4,3-row,control,3,1,22.86,no lesion,no lesion,,
2018-10-17,4,3-row,control,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,4,3-row,control,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,4,3-row,control,4,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,4,3-row,control,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,4,3-row,control,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,4,3-row,control,5,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,4,3-row,control,6,1,1.27,no lesion,no lesion,,
2018-11-07,4,3-row,control,6,1,10.16,no lesion,no lesion,,
2018-11-28,4,3-row,control,6,1,12.7,no lesion,no lesion,,merged with ground lesion
2018-10-17,4,3-row,control,7,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,control,7,1,1.5875,no lesion,no lesion,,
2018-11-28,4,3-row,control,7,1,13.335,no lesion,no lesion,,
2018-10-17,4,3-row,control,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,control,8,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,4,3-row,control,8,1,10.16,no lesion,no lesion,,
2018-10-17,4,3-row,control,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,4,3-row,control,9,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,4,3-row,control,9,1,8.89,no lesion,no lesion,,
2018-10-17,4,3-row,control,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-07,4,3-row,control,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-11-28,4,3-row,control,10,0,no lesion,no lesion,no lesion,no data all dates,
2018-10-17,5,3-row,control,1,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,control,1,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,control,1,1,1.5875,no lesion,no lesion,,
2018-10-17,5,3-row,control,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,control,2,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,control,2,1,1.27,no lesion,no lesion,,
2018-10-17,5,3-row,control,3,0,lesion later,lesion later,no lesion,no data now yes later,
2018-11-07,5,3-row,control,3,0,lesion later,lesion later,no lesion,no data now yes later,
2018-11-28,5,3-row,control,3,2,10.16,13.0175,no lesion,,
2018-10-17,5,3-row,control,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,control,4,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,control,4,1,7.62,no lesion,no lesion,,
2018-10-17,5,3-row,control,5,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,control,5,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,control,5,1,9.2075,no lesion,no lesion,,
2018-10-17,5,3-row,control,6,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,control,6,1,5.08,no lesion,no lesion,,
2018-11-28,5,3-row,control,6,1,5.08,no lesion,no lesion,,
2018-10-17,5,3-row,control,7,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-07,5,3-row,control,7,0,lesion later,no lesion,no lesion,no data now yes later,
2018-11-28,5,3-row,control,7,1,1.5875,no lesion,no lesion,,
